age_int,attention,n,sd,age,snapshot
53,16.202857142857145,350,13.035613236197092,53.54999999999996,2017-07
54,16.017543859649123,342,11.78769858530296,54.549999999999955,2017-07
55,14.888235294117647,340,11.488836821362518,55.549999999999955,2017-07
56,14.537396121883656,361,12.329700495636379,56.549999999999955,2017-07
57,14.651006711409396,298,12.261695399384822,57.549999999999955,2017-07
58,13.613636363636363,264,11.649930385256999,58.549999999999955,2017-07
59,12.371428571428572,140,10.895410463471448,59.54999999999995,2017-07
0,66.2072072072072,111,14.051280832667638,0.650000000000091,2022-08
1,65.33753148614609,397,14.124515794047737,1.650000000000091,2022-08
2,63.377990430622006,418,11.506882260509249,2.650000000000091,2022-08
3,64.1547619047619,336,13.083880064991492,3.650000000000091,2022-08
4,63.01445086705202,346,12.231928728627253,4.650000000000091,2022-08
5,63.254752851711025,263,12.41396830202051,5.650000000000091,2022-08
6,61.3794466403162,253,13.692132650466645,6.650000000000091,2022-08
7,57.61135371179039,229,15.671575912475411,7.650000000000091,2022-08
8,56.00961538461539,208,15.495671948215689,8.650000000000091,2022-08
9,54.009009009009006,222,16.524762986913732,9.650000000000093,2022-08
10,52.84905660377358,212,15.139347968974455,10.650000000000093,2022-08
11,50.306666666666665,300,15.037943833450623,11.650000000000093,2022-08
12,50.10394265232975,279,14.815894836129901,12.650000000000093,2022-08
13,50.91417910447761,268,12.974626075364059,13.650000000000093,2022-08
14,51.983193277310924,238,14.893423459157882,14.650000000000093,2022-08
15,52.695,200,13.333072757085244,15.650000000000093,2022-08
16,51.19178082191781,219,14.46729072572215,16.65000000000009,2022-08
17,52.551886792452834,212,14.258352378058495,17.65000000000009,2022-08
18,48.676300578034684,173,14.871518125295351,18.65000000000009,2022-08
19,48.77401129943503,177,15.634126507706227,19.65000000000009,2022-08
20,49.374233128834355,163,14.086192297831529,20.65000000000009,2022-08
21,47.90604026845637,149,15.557366501366065,21.65000000000009,2022-08
22,44.80203045685279,197,15.998609503962905,22.650000000000087,2022-08
23,44.065934065934066,182,17.00523299230859,23.65000000000009,2022-08
24,40.40816326530612,196,17.25188164226873,24.65000000000009,2022-08
25,41.28409090909091,176,15.912222697311373,25.65000000000009,2022-08
26,41.70198675496689,151,15.408134086465177,26.65000000000009,2022-08
27,41.3021978021978,182,13.882772646645485,27.65000000000009,2022-08
28,42.86910994764398,191,14.799667092395781,28.650000000000095,2022-08
29,42.243781094527364,201,16.415702045049446,29.650000000000087,2022-08
30,38.41981132075472,212,15.468916515492722,30.65000000000009,2022-08
31,34.88477366255144,243,16.467947036510648,31.650000000000095,2022-08
32,37.15767634854772,241,15.848239689152015,32.65000000000009,2022-08
33,36.48117154811715,239,16.459227096218747,33.65000000000009,2022-08
34,37.9051724137931,232,16.048076281944113,34.65000000000009,2022-08
35,36.81974248927039,233,16.885571935489036,35.65000000000009,2022-08
36,38.03862660944206,233,15.901996778830766,36.65000000000009,2022-08
37,36.53556485355649,239,16.600780544920422,37.65000000000009,2022-08
38,36.49771689497717,219,15.839033896154174,38.65000000000009,2022-08
39,35.46785714285714,280,15.73340973125767,39.65000000000009,2022-08
40,33.97328244274809,262,16.74107676504871,40.65000000000009,2022-08
41,33.52325581395349,258,17.596245671505322,41.65000000000009,2022-08
42,32.204819277108435,249,16.149572327412777,42.65000000000009,2022-08
43,33.305263157894736,285,18.059413107271663,43.65000000000009,2022-08
44,31.374485596707817,243,17.636471626977198,44.65000000000009,2022-08
45,29.834586466165412,266,18.125216647190445,45.65000000000009,2022-08
46,27.8,310,17.28923940931904,46.65000000000009,2022-08
47,27.561728395061728,324,16.750746522997268,47.65000000000009,2022-08
48,28.253205128205128,312,16.058674248923175,48.65000000000009,2022-08
49,28.272131147540982,305,16.01874037309546,49.65000000000009,2022-08
50,26.52173913043478,322,16.655044030865028,50.65000000000009,2022-08
51,24.551204819277107,332,16.74061305425349,51.6500000000001,2022-08
52,22.28767123287671,365,15.962076839636893,52.65000000000009,2022-08
53,22.58,400,15.183046870793154,53.65000000000009,2022-08
54,22.225806451612904,434,15.77130663862299,54.65000000000009,2022-08
55,21.671610169491526,472,14.77920295092718,55.65000000000009,2022-08
56,21.085470085470085,468,14.87309494731132,56.650000000000084,2022-08
57,21.08705882352941,425,15.160445277065255,57.65000000000009,2022-08
58,19.970223325062033,403,15.190632970666641,58.65000000000009,2022-08
