evidence_layer,snapshot,song_age,delta_excess,decay_equivalent_years,inversion_status
Matched residual,August 2022,44,2.5221556223943744,3.800760489814138,valid
Matched residual,August 2022,45,2.5221556223943744,3.8633105057165906,valid
Matched residual,August 2022,46,2.5221556223943744,3.927674602246384,valid
Matched residual,August 2022,47,2.5221556223943744,3.993880771199912,valid
Matched residual,August 2022,48,2.5221556223943744,4.0619582645260195,valid
Matched residual,August 2022,49,2.5221556223943744,4.131937565771132,valid
Matched residual,August 2022,50,2.5221556223943744,4.203850364340475,valid
Matched residual,August 2022,51,2.5221556223943744,4.277729532242041,valid
Matched residual,August 2022,52,2.5221556223943744,4.353609103073325,valid
Matched residual,August 2022,53,2.5221556223943744,4.431524252915764,valid
Matched residual,August 2022,54,2.5221556223943744,4.511511282920949,valid
Matched residual,August 2022,55,2.5221556223943744,4.593607603382615,valid
Matched residual,August 2022,56,2.5221556223943744,4.677851719019529,valid
Matched residual,August 2022,57,2.5221556223943744,4.76428321537832,valid
Matched residual,August 2022,58,2.5221556223943744,4.852942746116142,valid
Matched residual,August 2025,1,2.5221556223943744,,above_young_maximum
Matched residual,August 2025,2,2.5221556223943744,,above_young_maximum
Matched residual,August 2025,3,2.5221556223943744,2.928925116291279,valid
Matched residual,August 2025,4,2.5221556223943744,2.8633536918882294,valid
Matched residual,August 2025,5,2.5221556223943744,2.8083885511556024,valid
Matched residual,August 2025,6,2.5221556223943744,2.762411239412392,valid
Matched residual,August 2025,7,2.5221556223943744,2.7241499859278138,valid
Matched residual,August 2025,8,2.5221556223943744,2.6925905002335373,valid
Matched residual,August 2025,9,2.5221556223943744,2.666913496427246,valid
Matched residual,August 2025,10,2.5221556223943744,2.6464499108108495,valid
Matched residual,August 2025,11,2.5221556223943744,2.630648149133661,valid
Matched residual,August 2025,12,2.5221556223943744,2.6190497048162182,valid
Matched residual,August 2025,13,2.5221556223943744,2.611270722348703,valid
Matched residual,August 2025,14,2.5221556223943744,2.6069878605300456,valid
Matched residual,August 2025,15,2.5221556223943744,2.6059273159470955,valid
Matched residual,August 2025,16,2.5221556223943744,2.6078562035445625,valid
Matched residual,August 2025,17,2.5221556223943744,2.6125757181351137,valid
Matched residual,August 2025,18,2.5221556223943744,2.6199156580548877,valid
Matched residual,August 2025,19,2.5221556223943744,2.6297300019753003,valid
Matched residual,August 2025,20,2.5221556223943744,2.6418933081060807,valid
Matched residual,August 2025,21,2.5221556223943744,2.6562977616664725,valid
Matched residual,August 2025,22,2.5221556223943744,2.6728507377303927,valid
Matched residual,August 2025,23,2.5221556223943744,2.6914727768906914,valid
Matched residual,August 2025,24,2.5221556223943744,2.7120958943042304,valid
Matched residual,August 2025,25,2.5221556223943744,2.734662159625632,valid
Matched residual,August 2025,26,2.5221556223943744,2.7591224984489564,valid
Matched residual,August 2025,27,2.5221556223943744,2.7854356761613666,valid
Matched residual,August 2025,28,2.5221556223943744,2.8135674326488918,valid
Matched residual,August 2025,29,2.5221556223943744,2.843489742572036,valid
Matched residual,August 2025,30,2.5221556223943744,2.875180180571771,valid
Matched residual,August 2025,31,2.5221556223943744,2.908621374678553,valid
Matched residual,August 2025,32,2.5221556223943744,2.943800534127128,valid
Matched residual,August 2025,33,2.5221556223943744,2.9807090402140624,valid
Matched residual,August 2025,34,2.5221556223943744,3.0193420908134527,valid
Matched residual,August 2025,35,2.5221556223943744,3.059698390669901,valid
Matched residual,August 2025,36,2.5221556223943744,3.10177988097535,valid
Matched residual,August 2025,37,2.5221556223943744,3.1455915026946997,valid
Matched residual,August 2025,38,2.5221556223943744,3.19114098895772,valid
Matched residual,August 2025,39,2.5221556223943744,3.238438682725672,valid
Matched residual,August 2025,40,2.5221556223943744,3.2874973762155406,valid
Matched residual,August 2025,41,2.5221556223943744,3.338332169373345,valid
Matched residual,August 2025,42,2.5221556223943744,3.390960344899966,valid
Matched residual,August 2025,43,2.5221556223943744,3.4454012577482516,valid
Matched residual,August 2025,44,2.5221556223943744,3.5016762372603836,valid
Matched residual,August 2025,45,2.5221556223943744,3.5598085004661044,valid
Matched residual,August 2025,46,2.5221556223943744,3.619823075044259,valid
Matched residual,August 2025,47,2.5221556223943744,3.6817467309422014,valid
Matched residual,August 2025,48,2.5221556223943744,3.7456079194555656,valid
Matched residual,August 2025,49,2.5221556223943744,3.811436719010999,valid
Matched residual,August 2025,50,2.5221556223943744,3.879264786713712,valid
Matched residual,August 2025,51,2.5221556223943744,3.949125315100801,valid
Matched residual,August 2025,52,2.5221556223943744,4.021052993358914,valid
Matched residual,August 2025,53,2.5221556223943744,4.095083972541438,valid
Matched residual,August 2025,54,2.5221556223943744,4.171255834221888,valid
Matched residual,August 2025,55,2.5221556223943744,4.249607562194022,valid
Matched residual,August 2025,56,2.5221556223943744,4.330179516810034,valid
Matched residual,August 2025,57,2.5221556223943744,4.413013411550104,valid
Matched residual,August 2025,58,2.5221556223943744,4.4981522915803325,valid
Temporal event,October 2016,1,2.4512295719264454,0.20387184920912893,valid
Temporal event,October 2016,2,2.4512295719264454,0.3791581777708446,valid
Temporal event,October 2016,3,2.4512295719264454,0.6323681326866049,valid
Temporal event,October 2016,4,2.4512295719264454,0.9382936869647827,valid
Temporal event,October 2016,5,2.4512295719264454,1.250785791439518,valid
Temporal event,October 2016,6,2.4512295719264454,1.526080460999383,valid
Temporal event,October 2016,7,2.4512295719264454,1.7404909953301093,valid
Temporal event,October 2016,8,2.4512295719264454,1.8945585293644562,valid
Temporal event,October 2016,9,2.4512295719264454,2.003813269665023,valid
Temporal event,October 2016,10,2.4512295719264454,2.0858309594864997,valid
Temporal event,October 2016,11,2.4512295719264454,2.153462890646141,valid
Temporal event,October 2016,12,2.4512295719264454,2.2143305337810144,valid
Temporal event,October 2016,13,2.4512295719264454,2.272499133139549,valid
Temporal event,October 2016,14,2.4512295719264454,2.330031052455908,valid
Temporal event,October 2016,15,2.4512295719264454,2.387953587126983,valid
Temporal event,October 2016,16,2.4512295719264454,2.446780331433425,valid
Temporal event,October 2016,17,2.4512295719264454,2.5067748119622593,valid
Temporal event,October 2016,18,2.4512295719264454,2.568080013997628,valid
Temporal event,October 2016,19,2.4512295719264454,2.6307811902443383,valid
Temporal event,October 2016,20,2.4512295719264454,2.694936141545295,valid
Temporal event,October 2016,21,2.4512295719264454,2.7605897820874894,valid
Temporal event,October 2016,22,2.4512295719264454,2.8277811415184644,valid
Temporal event,October 2016,23,2.4512295719264454,2.896546732653821,valid
Temporal event,October 2016,24,2.4512295719264454,2.966922173165301,valid
Temporal event,October 2016,25,2.4512295719264454,3.038942968171,valid
Temporal event,October 2016,26,2.4512295719264454,3.112644889276904,valid
Temporal event,October 2016,27,2.4512295719264454,3.1880641593199854,valid
Temporal event,October 2016,28,2.4512295719264454,3.265237543397845,valid
Temporal event,October 2016,29,2.4512295719264454,3.3442023945636308,valid
Temporal event,October 2016,30,2.4512295719264454,3.4249966774681724,valid
Temporal event,October 2016,31,2.4512295719264454,3.5076589811563466,valid
Temporal event,October 2016,32,2.4512295719264454,3.5922285264112332,valid
Temporal event,October 2016,33,2.4512295719264454,3.678745170238315,valid
Temporal event,October 2016,34,2.4512295719264454,3.767249408729665,valid
Temporal event,October 2016,35,2.4512295719264454,3.857782378896445,valid
Temporal event,October 2016,36,2.4512295719264454,3.9503858597419708,valid
Temporal event,October 2016,37,2.4512295719264454,4.0451022726946775,valid
Temporal event,October 2016,38,2.4512295719264454,4.141974681446918,valid
Temporal event,October 2016,39,2.4512295719264454,4.241046791208284,valid
Temporal event,October 2016,40,2.4512295719264454,4.342362947365672,valid
Temporal event,October 2016,41,2.4512295719264454,4.445968133532595,valid
Temporal event,October 2016,42,2.4512295719264454,4.551907968966553,valid
Temporal event,October 2016,43,2.4512295719264454,4.660228705330695,valid
Temporal event,October 2016,44,2.4512295719264454,4.7709772227742135,valid
Temporal event,October 2016,45,2.4512295719264454,4.88420102531186,valid
Temporal event,October 2016,46,2.4512295719264454,4.999948235462085,valid
Temporal event,October 2016,47,2.4512295719264454,5.118267588138025,valid
Temporal event,October 2016,48,2.4512295719264454,5.239208423751684,valid
Temporal event,October 2016,49,2.4512295719264454,5.362820680508996,valid
Temporal event,October 2016,50,2.4512295719264454,5.489154885872551,valid
Temporal event,October 2016,51,2.4512295719264454,5.6182621471648275,valid
Temporal event,October 2016,52,2.4512295719264454,5.750194141288276,valid
Temporal event,October 2016,53,2.4512295719264454,5.885003103537329,valid
Temporal event,October 2016,54,2.4512295719264454,6.022741815479236,valid
Temporal event,October 2016,55,2.4512295719264454,6.163463591880188,valid
Temporal event,October 2016,56,2.4512295719264454,6.3072222666547475,valid
Temporal event,October 2016,57,2.4512295719264454,6.4540721778173165,valid
Temporal event,October 2016,58,2.4512295719264454,6.604068151414602,valid
Temporal event,July 2017,1,2.4512295719264454,0.2422324350100934,valid
Temporal event,July 2017,2,2.4512295719264454,0.41850505414903205,valid
Temporal event,July 2017,3,2.4512295719264454,0.658830541958372,valid
Temporal event,July 2017,4,2.4512295719264454,0.9401721859259187,valid
Temporal event,July 2017,5,2.4512295719264454,1.2251620351767456,valid
Temporal event,July 2017,6,2.4512295719264454,1.4788637387383812,valid
Temporal event,July 2017,7,2.4512295719264454,1.6816312763003944,valid
Temporal event,July 2017,8,2.4512295719264454,1.8323124458584035,valid
Temporal event,July 2017,9,2.4512295719264454,1.9420249752794776,valid
Temporal event,July 2017,10,2.4512295719264454,2.024862539227845,valid
Temporal event,July 2017,11,2.4512295719264454,2.092185534805129,valid
