covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,design,snapshot,family
artist_best_peak_excl_song,13.506395073424917,14.153725192495392,-0.030407344035435793,13.506395073424917,13.335081029551954,0.008003635152924501,historical + artist-success NN,2025,song film-linked matching
artist_superstar_top1pct,0.1639948006932409,0.15942028985507245,0.012423997104115772,0.1639948006932409,0.1639948006932409,0.0,historical + artist-success NN,2025,song film-linked matching
chart_year,1982.6051965969189,1987.0671460048707,-0.24703422694002325,1982.6051965969189,1983.2414348126006,-0.039483414227483866,baseline-attention + historical + artist-success NN,2025,song film-linked matching
age,43.044803403081254,38.5828539951294,0.247034226940026,43.044803403081254,42.40856518739949,0.03948341422748695,baseline-attention + historical + artist-success NN,2025,song film-linked matching
weeks,15.693032881122097,10.555955004058912,0.6087729386829042,15.693032881122097,15.48240974936767,0.024043107182367653,baseline-attention + historical + artist-success NN,2025,song film-linked matching
peak_pos,27.420786387675328,48.702539719355215,-0.7453621029822234,27.420786387675328,27.16440561048517,0.009266959881275037,baseline-attention + historical + artist-success NN,2025,song film-linked matching
artist_catalog_size_excl_song,15.048746838353644,18.201959874753566,-0.12179127320504651,15.048746838353644,14.826626810761095,0.011400623593489725,baseline-attention + historical + artist-success NN,2025,song film-linked matching
artist_total_weeks_excl_song,167.99517130374798,167.25252232401715,0.003680292213119844,167.99517130374798,166.56196826856748,0.007575535823631404,baseline-attention + historical + artist-success NN,2025,song film-linked matching
artist_mean_weeks_excl_song,11.623184077656502,11.23917564082031,0.07493445241345109,11.623184077656502,11.647037723614302,-0.004918486078930591,baseline-attention + historical + artist-success NN,2025,song film-linked matching
artist_best_peak_excl_song,13.463274003509651,13.77018592733723,-0.014555166607672965,13.463274003509651,13.153944020356233,0.014501340076678604,baseline-attention + historical + artist-success NN,2025,song film-linked matching
artist_superstar_top1pct,0.16578523798574385,0.16009509451467008,0.015406793019851204,0.16578523798574385,0.16578523798574385,0.0,baseline-attention + historical + artist-success NN,2025,song film-linked matching
previous_popularity,53.1991262359163,37.429838803200745,0.8259364706746889,53.1991262359163,52.58864106691193,0.037163244759257315,baseline-attention + historical + artist-success NN,2025,song film-linked matching
