age_int,film_linked,mean_log1p_listeners,sem,n,age
49,0,7.975452522338104,0.11120834639551186,349,49.54999999999995
49,1,10.832975607971711,0.18645895745902563,99,49.549999999999955
50,0,7.9994668294352005,0.10519885003094093,384,50.549999999999955
50,1,10.886913394441647,0.20266634807000078,105,50.549999999999955
51,0,7.700220204768293,0.10521346271962201,393,51.549999999999955
51,1,10.841307111524328,0.15768587990027477,122,51.54999999999996
52,0,7.719014294484156,0.11557771068679455,369,52.549999999999955
52,1,10.691053230110612,0.15387711632061277,114,52.54999999999996
53,0,7.437834285785426,0.10785444066529162,348,53.549999999999955
53,1,10.637763639264152,0.16030845507265976,125,53.549999999999955
54,0,7.296893036626113,0.10209531772151932,340,54.549999999999955
54,1,9.946040555574948,0.18608673302147574,84,54.549999999999955
55,0,7.015945656827294,0.10234978566085322,338,55.54999999999995
55,1,9.818269766336025,0.18001469235046447,82,55.54999999999996
56,0,7.2046051040923516,0.10636556196271048,358,56.549999999999955
56,1,9.858163026325343,0.21196986034154544,69,56.549999999999955
57,0,7.150719989346369,0.10535178924256522,297,57.54999999999996
57,1,9.99742740999915,0.18497498694911457,68,57.549999999999955
58,0,7.137853853673619,0.11883770764258939,263,58.549999999999955
58,1,9.480976580598446,0.1857487415493169,83,58.549999999999955
59,0,7.159126848598068,0.15630733804773778,140,59.54999999999995
59,1,9.992654292000527,0.23204268558262334,62,59.549999999999955
